asn,confidence,country,created_ts,created_by,extended_source,feed_id,id,import_session_id,import_source,ip,is_public,itype,latitude,longitude,meta,modified_ts,expiration_ts,org,owner_organization_id,rdns,retina_confidence,source_created,source_modified,source_reported_confidence,status,tags,threat_type,trusted_circle_ids,type,update_id,subtype,value
,90,,2022-03-23T08:42:14.091Z,,,4565,58560469689,,,,False,apt_md5,,,"{""detail2"": ""imported by user 4508"", ""severity"": ""very-high""}",2022-03-23T08:42:14.091Z,9999-12-31T00:00:00.000Z,,760,,-1,2022-03-23T08:09:57.000Z,2022-03-23T08:12:47.000Z,90,active,"[""Actor/FANCYBEAR"", ""MaliciousConfidence/High"", ""Malware/X-Agent"", ""MitreATTCK/Execution/ExecutionThroughAPI"", ""ThreatType/Criminal"", ""ThreatType/Targeted"", ""ThreatType/TargetedCrimeware""]",apt,[308],domain,14046492362,MD5,wp.pl
,90,,2022-03-23T08:42:13.934Z,,,4565,58560469669,,,,False,apt_md5,,,"{""detail2"": ""imported by user 4508"", ""severity"": ""very-high""}",2022-03-23T08:42:13.934Z,9999-12-31T00:00:00.000Z,,760,,-1,2022-03-23T08:09:57.000Z,2022-03-23T08:12:47.000Z,90,active,"[""Actor/FANCYBEAR"", ""MaliciousConfidence/High"", ""Malware/X-Agent"", ""MitreATTCK/Execution/ExecutionThroughAPI"", ""ThreatType/Criminal"", ""ThreatType/Targeted"", ""ThreatType/TargetedCrimeware""]",apt,[308],md5,14046492341,SHA1,f43d9bb316e30ae1a3494ac5b0624f6bea1bf054
,90,,2022-03-23T08:42:13.404Z,,,4565,58560469588,,,,False,apt_md5,,,"{""detail2"": ""imported by user 4508"", ""severity"": ""very-high""}",2022-03-23T08:42:13.404Z,9999-12-31T00:00:00.000Z,,760,,-1,2022-03-23T08:09:57.000Z,2022-03-23T08:12:47.000Z,90,active,"[""Actor/FANCYBEAR"", ""MaliciousConfidence/High"", ""Malware/X-Agent"", ""MitreATTCK/Execution/ExecutionThroughAPI"", ""ThreatType/Criminal"", ""ThreatType/Targeted"", ""ThreatType/TargetedCrimeware""]",apt,[308],ip,14046492251,SHA256,8.8.8.8
22684,90,AU,2022-03-23T03:55:46.605Z,,,4565,58559389735,,,207.148.80.49,False,apt_url,-33.9166,151.1866,"{""detail2"": ""imported by user 4508"", ""severity"": ""very-high"", ""registration_created"": ""2022-02-17T14:48:58+00:00""}",2022-03-23T03:55:46.605Z,9999-12-31T00:00:00.000Z,"Choopa, LLC",760,,-1,2022-03-23T03:23:36.000Z,2022-03-23T03:23:56.000Z,90,active,"[""Actor/PRIMITIVEBEAR"", ""KillChain/C2"", ""MaliciousConfidence/High"", ""Malware/TrojanizedDocument"", ""ThreatType/Targeted""]",apt,[308],url,14045021547,,http://bike27.mirtopa.ru/LENOVOG570/prickly25/ambition/perceive.cfg
,90,,2022-03-23T03:55:46.069Z,,,4565,58559389677,,,,False,apt_md5,,,"{""detail2"": ""imported by user 4508"", ""severity"": ""very-high""}",2022-03-23T03:56:04.732Z,9999-12-31T00:00:00.000Z,,760,,-1,2022-03-23T03:23:36.000Z,2022-03-23T03:23:50.000Z,90,active,"[""Actor/PRIMITIVEBEAR"", ""KillChain/Delivery"", ""MaliciousConfidence/High"", ""Malware/TrojanizedDocument"", ""ThreatType/Targeted""]",apt,[308],md5,14045023708,SHA256,56accd171cdf414471a13198890d0e069c03d41a23a2ba9be1ad2198eb2137d3
,90,,2022-03-23T03:55:46.030Z,,,4565,58559389674,,,,False,apt_md5,,,"{""detail2"": ""imported by user 4508"", ""severity"": ""very-high""}",2022-03-23T03:56:04.740Z,9999-12-31T00:00:00.000Z,,760,,-1,2022-03-23T03:23:36.000Z,2022-03-23T03:23:50.000Z,90,active,"[""Actor/PRIMITIVEBEAR"", ""KillChain/Delivery"", ""MaliciousConfidence/High"", ""Malware/TrojanizedDocument"", ""ThreatType/Targeted""]",apt,[308],md5,14045023709,MD5,ef5017d8e7724f73d370e1b77d276d3c
,90,,2022-03-23T03:55:45.975Z,,,4565,58559389669,,,,False,apt_md5,,,"{""detail2"": ""imported by user 4508"", ""severity"": ""very-high""}",2022-03-23T03:55:45.975Z,9999-12-31T00:00:00.000Z,,760,,-1,2022-03-23T03:23:36.000Z,2022-03-23T03:23:50.000Z,90,active,"[""Actor/PRIMITIVEBEAR"", ""KillChain/Delivery"", ""MaliciousConfidence/High"", ""Malware/TrojanizedDocument"", ""ThreatType/Targeted""]",apt,[308],md5,14045021460,SHA1,a692f14fce189d2cc13e9cd85155cacba620cdd5
22684,90,AU,2022-03-23T03:55:45.875Z,,,4565,58559389658,,,207.148.80.49,False,apt_domain,-33.9166,151.1866,"{""detail2"": ""imported by user 4508"", ""severity"": ""very-high"", ""registration_created"": ""2022-02-17T14:48:58+00:00""}",2022-03-23T03:56:08.449Z,9999-12-31T00:00:00.000Z,"Choopa, LLC",760,,-1,2022-03-23T03:23:36.000Z,2022-03-23T03:23:48.000Z,90,active,"[""Actor/PRIMITIVEBEAR"", ""MaliciousConfidence/High"", ""Malware/TrojanizedDocument"", ""ThreatType/Targeted""]",apt,[308],domain,14045024221,,bike27.mirtopa.ru
,90,,2022-03-23T03:55:17.695Z,,,4565,58559386851,,,,False,apt_md5,,,"{""detail2"": ""imported by user 4508"", ""severity"": ""very-high""}",2022-03-23T03:55:51.023Z,9999-12-31T00:00:00.000Z,,760,,-1,2022-03-23T03:12:53.000Z,2022-03-23T03:19:08.000Z,90,active,"[""Actor/PRIMITIVEBEAR"", ""ata_mitre_collection"", ""KillChain/ActionOnObjectives"", ""KillChain/Delivery"", ""KillChain/Installation"", ""KillChain/Reconnaissance"", ""MaliciousConfidence/High"", ""Malware/Vulcanops"", ""ThreatType/DeploymentFramework"", ""ThreatType/Downloader"", ""ThreatType/Dropper"", ""ThreatType/InformationStealer"", ""ThreatType/MaliciousScript"", ""ThreatType/Modular"", ""ThreatType/Targeted""]",apt,[308],md5,14045022141,SHA256,2e117d669667f505a7fc4b44076949e60ddf428467da6b64f2f8ef2c5cdcb868
,90,,2022-03-23T03:55:16.984Z,,,4565,58559386815,,,,False,apt_md5,,,"{""detail2"": ""imported by user 4508"", ""severity"": ""very-high""}",2022-03-23T03:55:50.987Z,9999-12-31T00:00:00.000Z,,760,,-1,2022-03-23T03:12:53.000Z,2022-03-23T03:19:08.000Z,90,active,"[""Actor/PRIMITIVEBEAR"", ""ata_mitre_collection"", ""KillChain/ActionOnObjectives"", ""KillChain/Delivery"", ""KillChain/Installation"", ""KillChain/Reconnaissance"", ""MaliciousConfidence/High"", ""Malware/Vulcanops"", ""ThreatType/DeploymentFramework"", ""ThreatType/Downloader"", ""ThreatType/Dropper"", ""ThreatType/InformationStealer"", ""ThreatType/MaliciousScript"", ""ThreatType/Modular"", ""ThreatType/Targeted""]",apt,[308],md5,14045022132,MD5,d8d34a3044c61168754deed62889787d
